		NonSurvivor	Survivor
Neutrophils	mean	0.374755	0.42811270731707324
Neutrophils	std	0.12137205056354611	0.08609524327663054
Neutrophils	min	0.288932	0.300343
Neutrophils	25%	0.3318435	0.340117
Neutrophils	50%	0.374755	0.421514
Neutrophils	75%	0.4176665	0.499367
Neutrophils	max	0.460578	0.599915
Neutrophils_LPS	count	2.0	41.0
Neutrophils_LPS	mean	0.1096665	0.055791756097560964
Neutrophils_LPS	std	0.05353151886972759	0.03497649296726338
Neutrophils_LPS	min	0.071814	0.0
Neutrophils_LPS	25%	0.09074025000000001	0.025988
Neutrophils_LPS	50%	0.1096665	0.055783
Neutrophils_LPS	75%	0.12859275	0.077653
Neutrophils_LPS	max	0.147519	0.146622
B_cells	count	2.0	41.0
B_cells	mean	0.0	0.009083926829268294
B_cells	std	0.0	0.018085003097027996
B_cells	min	0.0	0.0
B_cells	25%	0.0	0.0
B_cells	50%	0.0	0.0
B_cells	75%	0.0	0.011286
B_cells	max	0.0	0.084815
SurvivalStatus	count	2.0	41.0
SurvivalStatus	mean	1.0	0.0
SurvivalStatus	std	0.0	0.0
SurvivalStatus	min	1.0	0.0
SurvivalStatus	25%	1.0	0.0
SurvivalStatus	50%	1.0	0.0
SurvivalStatus	75%	1.0	0.0
SurvivalStatus	max	1.0	0.0
Sex	count	2.0	41.0
Sex	mean	0.5	0.36585365853658536
Sex	std	0.7071067811865476	0.48765241519834646
Sex	min	0.0	0.0
Sex	25%	0.25	0.0
Sex	50%	0.5	0.0
Sex	75%	0.75	1.0
Sex	max	1.0	1.0
